Pedido;Data;Vendedor;Cliente;Cidade;Endereco;Valor_Pedido;Situacao_CSV_Entrega;Itens_Resumo
L1260901;16/09/2026;Vendedor CD;Construtora Vale do Poty;CRATEUS;Rua Dom Pedro II, 450, Centro, Crateús - CE;R$ 3.850,00;URGENTE;21503 - CIMENTO POTY TODAS OBRAS 50KG (18,00 SC) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 (15,00 CX) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG (10,00 SC)
L1260902;16/09/2026;Vendedor CD;Marcenaria e Artefatos São José;CRATEUS;Rua José Coriolano, 890, São José, Crateús - CE;R$ 2.950,00;NORMAL;12185 - CX. DAGUA BAKOF 1000L C/TMP (2,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 (12,00 CX) | 17170 - LATEX FORTEX BRANCO GELO 15L (4,00 UN)
L1260903;16/09/2026;Vendedor CD;Comercial Sertão da Construção;TAMBORIL;Rua Cel. Oliveira, 350, Centro, Tamboril - CE;R$ 7.850,00;URGENTE;21503 - CIMENTO POTY TODAS OBRAS 50KG (45,00 SC) | 24606 - PISO POINTER GIOIA ORO 60 X 60 (25,00 CX) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG (25,00 SC)
L1260904;16/09/2026;Vendedor CD;Depósito Nova Russas Cimentos;NOVA RUSSAS;Av. Leonardo Araújo, 1120, Centro, Nova Russas - CE;R$ 6.400,00;NORMAL;12185 - CX. DAGUA BAKOF 1000L C/TMP (3,00 UN) | 21503 - CIMENTO POTY TODAS OBRAS 50KG (20,00 SC) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 (15,00 CX)
L1260905;16/09/2026;Vendedor CD;Casa & Construção Ipaporanga;IPAPORANGA;Rua Franklin José Vieira, 140, Centro, Ipaporanga - CE;R$ 6.800,00;URGENTE;21503 - CIMENTO POTY TODAS OBRAS 50KG (40,00 SC) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 (30,00 CX) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG (20,00 SC)
L1260906;16/09/2026;Vendedor CD;Depósito Poranga Materiais;PORANGA;Av. Epitácio Pinho, 510, Centro, Poranga - CE;R$ 5.900,00;NORMAL;21503 - CIMENTO POTY TODAS OBRAS 50KG (30,00 SC) | 24606 - PISO POINTER GIOIA ORO 60 X 60 (20,00 CX) | 12185 - CX. DAGUA BAKOF 1000L C/TMP (2,00 UN)
L1260907;16/09/2026;Vendedor CD;Mega Construtora Independência;INDEPENDENCIA;Rua Cel. Raimundo de Oliveira, 205, Centro, Independência - CE;R$ 8.200,00;URGENTE;21503 - CIMENTO POTY TODAS OBRAS 50KG (50,00 SC) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 (35,00 CX) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG (25,00 SC)
L1260908;16/09/2026;Vendedor CD;Comercial Ferreira & Filhos;INDEPENDENCIA;Av. 7 de Setembro, 880, Independência - CE;R$ 4.500,00;NORMAL;12185 - CX. DAGUA BAKOF 1000L C/TMP (3,00 UN) | 17170 - LATEX FORTEX BRANCO GELO 15L (10,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG (15,00 SC)
L1260909;16/09/2026;Vendedor CD;Engenharia e Reformas Rio Poty;CRATEUS;Rua Cel. Zezé, 610, São Vicente, Crateús - CE;R$ 3.200,00;NORMAL;21503 - CIMENTO POTY TODAS OBRAS 50KG (20,00 SC) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 (15,00 CX) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (15,00 SC)
L1260910;16/09/2026;Vendedor CD;Comércio e Construção Buriti;BURITI DOS MONTES;Av. Principal, 100, Centro, Buriti dos Montes - CE;R$ 7.100,00;URGENTE;21503 - CIMENTO POTY TODAS OBRAS 50KG (40,00 SC) | 24606 - PISO POINTER GIOIA ORO 60 X 60 (25,00 CX) | 12185 - CX. DAGUA BAKOF 1000L C/TMP (2,00 UN)
