                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,,,,,,,,,,
,,,,,,,,,,
  SUPRIMENTOS — COLETA SEMANAL (SEG A SEX),,,,,,,,,,
,PERIODO,CAMINHÃO / FORNECEDOR,SEG,TER,QUA,QUI,SEX,,,
,14/09 - 18/09 ,Daf,Quartzolit,Votorantim,Cebras/Pointer,Votorantim,Cerbras/Fortex,,,
,,Caminhão Médio 1,,,,,,,,
,,Caminhão Médio 2,,,,,,,,
,,,,,,,,,,
"  ENTREGAS — ROTAS, PREVISÃO E VALOR DOS PEDIDOS",,,,,,,,,,
,,,,,,,,,,
,ROTA,VALOR TOTAL (R$),PREVISÃO,CARGA,VALOR DOS PEDIDOS POR ROTA,,,,,
,,,,,Buriti dos Montes - Barro vermelho - Tucuns - Queimadas - Filomena,Sucesso - Tamboril - Nova Russas - Fazenda,Independência - Acentamento São josé - Adão,Ipaporanga - Poranga - Ararendá - Vaca morta - Curral velho - Curral do meio,Novo Oriente - Realejo - Santana - Monte Nebo - Santo André - Quiterianópolis - Barra dos simiões,CRATEÚS
,Buriti dos Montes,"R$ 0,00",EM ANÁLISE,EM ANALISE,SEM PEDIDO,"2.998,20","227,81","6.328,17","2.379,64","4.700,00"
,Sucesso - Tamboril - Nova Russas - Fazenda,"R$ 4.132,50",EM ANÁLISE,EM ANALISE,,"1.134,30","3.289,95","12.370,00",,"3.224,28"
,Independência,"R$ 3.517,76",EM ANÁLISE,EM ANALISE,,,,"269,55",,"953,12"
,Ipaporanga - Poranga - Ararendá,"R$ 18.967,72",EM ANÁLISE,EM ANALISE,,,,,,"1.038,37"
,Novo Oriente - Realejo - Santana - Monte Nebo - Santo André - Quiterianópolis,"R$ 2.379,64",EM ANÁLISE,EM ANALISE,,,,,,"1.023,20"
,Crateús,"R$ 14.126,66",EM ANÁLISE,EM ANALISE,,,,,,"1.390,00"
,,,,,,,,,,"141,00"
,,,,,,,,,,"1.242,90"
,,,,,,,,,,"413,79"
,,,,,,,,,,
,,,,,,,,,,
,,,,TOTAL →,"0,00","4.132,50","3.517,76","18.967,72","2.379,64",
,,,,,,,,,,
,Capacidade utilizada ,HR / BONGO,ACELLO 815,MOTOS,,,,,,
,Peso,1.700 kg,4.800 kg,300 kg,,,,,,
,capacidade em m³,"2,1793","2,4543","0,3833",,,,,,
,,,,,,,,,,"14.126,66"
