Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12609909;26/08/2014;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 29,90;1;21226 - GESSOMIX 1KG (10,00 UN)
L12609822;22/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 435,00;3;17170 - LATEX FORTEX BRANCO GELO 15L FORTMAIS (2,00 UN) | 7391 - TEXT. CINZA MEDIO 25KG FORTEX (1,00 UN) | 8988 - ROLO ATLAS DE TEXT RUSTICA 23CM (1,00 UN)
L12609826;22/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 88,77;2;"24852 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""C"" (2,30 MT) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (2,00 UN)"
L12609829;22/08/2026;LIMA;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 516,90;2;"12310 - CHUVEIRO ASTRA ABS CROM VC43 ""4"" (1,00 UN) | 16186 - PORC. ZEUS POLIDO 70 X 70 ""A"" CERBRAS (6,00 MT)"
L12609837;22/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 2.750,00;17;20675 - KIT BELLARENZO STANDER BELLARENZO (1,00 UN) | 5567 - LAVAT. CELITE C/COL SAVERO/ ARIES BCO (1,00 UN) | 15194 - ENGATE KRONA 60CM (1,00 UN) | 18935 - PORTA METALFLEX VENEZIANA SPP 0,60 X 2,10 BRANCA DIR (1,00 UN) | 13697 - VALVULA POLYFORT P/LAVAT BRANCA (1,00 UN) | 5498 - ADAPTADOR KRONA C/ FLANGE 50MM (1,00 UN) | 22036 - REV. CARMELO FIOR TATO 32 X 57MM HD A (26,39 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (15,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (5,00 UN) | 16544 - TORN. ICO METAIS DE LAVATORIO DN15 BICA MOVEL LATAO (1,00 UN) | 7792 - SIFAO ASTRA SANF SIMPLES UNIVERSAL PLAST BCO (1,00 UN) | 23988 - PARAFUSO EUROFIX P/ SANIT B-10 LATONADO C/ 02 (2,00 UN) | 5711 - BUCHA KRONA RED SOLD CURTA 50 X 40MM (1,00 UN) | 5502 - JOELHO KRONA 90º SOLD 50MM (1,00 UN) | 15103 - CAIXA KRONA SIFON 150 X 150 X 50 GRELGA QUAD (1,00 UN) | 11763 - PISO CERBRAS ICAPUI BR 46 X 46 ''A'' (4,60 MT) | 23116 - ARMARIO ASTRA PLAST 54 X 46 10CM BR1 A63 (1,00 UN)
L12609838;22/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 510,00;22;10252 - JOELHO KRONA 90º C/BUCHA LATAO 25 X 1/2 (5,00 UN) | 15753 - CURVA KRONA SOLD 90º 40MM (1,00 UN) | 5500 - CAP KRONA SOLD. 25MM (1,00 UN) | 7786 - CHUVEIRO ASTRA PLASTICO 6'' X 1/2'' BRANCO (1,00 UN) | 9872 - ADESIVO KRONA PLASTICO 175G (1,00 UN) | 17613 - TORN. HERC LAVATORIO FACILITA BRANCA (1,00 UN) | 7152 - BUCHA KRONA RED SOLD LONGA 40 X 25MM (1,00 UN) | 3908 - TORN. BOIA ASTRA 1/2 E 3/4 HASTE ALUMINIO (1,00 UN) | 5724 - ADAPTADOR KRONA C/ FLANGE 25MM (3,00 UN) | 3741 - REG KRONA ESF. SOLD 40MM (1,00 UN) | 3891 - CAIXA ASTRA DESCARGA BRANCA 6/9L (1,00 UN) | 3426 - CANO KRONA AGUA SOLD 25MM (12,00 MT) | 17634 - FITA NOVAFLON VEDA ROSCA 50M X 18MM (2,00 UN) | 15397 - ADAPTADOR KRONA C/ FLANGE 40MM (1,00 UN) | 17263 - TUBO KRONA P/CX DESC CURTO C/CURVA (1,00 UN) | 7064 - CURVA KRONA SOLD. 90° 25MM LONGA (10,00 UN) | 5720 - TEE KRONA SOLD 25MM (1,00 UN) | 7070 - JOELHO KRONA 90º SOLD 25MM (3,00 UN) | 12544 - CANO KRONA AGUA SOLD 40MM (2,00 MT) | 14852 - ESPUDE KRONA P/VASO SANITARIO (1,00 UN) | 15441 - REG KRONA ESF. SOLD 25MM (2,00 UN) | 20161 - ASSENTO ASTRA ALMOFADADO SLIM TAJ/AS BR1 (1,00 UN)
L12609840;22/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 1.039,00;3;"18578 - REJUNTE QUARTZOLIT PORCELANATOS BRANCO 1KG (2,00 UN) | 14901 - ARGAMASSA PORC E PISO S/ PISO INT CINZA 15KG QUARTZOLIT (7,00 UN) | 22001 - PORC. TECHNATTO CREMA MATTE 70 X 70 ""A"" CERBRAS (14,00 MT)"
L12609847;22/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 647,90;4;21774 - PORTA QUALITY VENEZIANA BRANCA L/E L 0,80 X 2,10 HOME (1,00 UN) | 20831 - NUMERO ATLAS PARA CASA ADESIVO 6 ACM ESP (1,00 PC) | 20829 - NUMERO ATLAS PARA CASA ADESIVO 4 ACM ESP (1,00 UN) | 23567 - NUMERO ATLAS PARA CASA ADESIVO 2 ACM ESC (1,00 UN)
L12609872;22/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 130,00;2;"7319 - PISO CERBRAS CRISTAL 46 X 46 ""C"" (4,60 MT) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (2,00 UN)"
L12609889;22/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 2.319,50;1;12185 - CX. DAGUA BAKOF 1000L C/TMP (1,00 UN)
L8507328;22/08/2026;GEICI;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 2.035,50;5;"21810 - PISO KARINA ONIX BLACK RET REF. 75027 ""A"" 75 X 75 (4,46 MT) | 5812 - REJ QUARTZOLIT BRANCO - 1KG (2,00 UN) | 12505 - PISO CERBRAS AURORA BR 57 X 57 ""A"" (5,24 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (15,00 UN) | 9192 - PISO CERBRAS NAPOLI POLIDO 56 X 56 ""A"" (21,90 MT)"
L8507336;22/08/2026;GEICI;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 1.123,00;6;"8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (13,00 UN) | 21503 - CIMENTO POTY TODAS OBRAS 50KG (2,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (16,10 MT) | 11479 - REJUNTE VOTOMASSA CZ PLATINA 1KG (2,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (11,50 MT) | 17250 - REJ QUARTZOLIT BEGE - 1KG (2,00 UN)"
L8507344;22/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 1.117,84;5;"22137 - TORN. BELLARENZO 1167 COZ PA LONGA BM ALTA ACAB C61 (1,00 UN) | 8312 - VALVULA GHEL PLUS INOX 3. 1/2 (1,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (23,00 MT) | 17214 - PIA DECORALITA GRANITO 120 X 54 VERDE ROMANO (1,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (10,00 UN)"
