Rank;Codigo;Produto;Pedidos;Qtd_Entregue;Unidade_Venda;Peso_kg;Volume_m3;Dado_Estimado;Fonte
1;14900;ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT;98;1.447,00 UN;Saco (papel/plástico) 15 kg;15,0;≈0,009 (estimado);SIM;"Quartzolit/Weber (ficha técnica); aecweb.com.br"
2;15624;REJUNTE QUARTZOLIT CZ PLATINA - 1KG;76;502,00 UN;Pacote/saco plástico 1 kg;1,0;0,00092;NAO;"NetKoll; Tosel"
3;21503;CIMENTO POTY TODAS OBRAS 50KG;74;1.833,00 UN;Saco de papel kraft multifoliado 50 kg;50,0;0,036;NAO;"CDR Pisos; Mapa da Obra (ficha técnica Poty); Estruturas&BIM"
4;12532;ARGAMASSA ACIII QUARTZOLIT-15KG;66;802,00 UN;Saco (papel 15kg, plástico 15kg ou 20kg conforme lote);15,0;≈0,009 (estimado);SIM;"Quartzolit/Weber; aecweb.com.br"
5;21246;"PISO CERBRAS IPANEMA CINZA 46 X 46 ""A""";41;1.076,78 MT (m²);Caixa com 11 peças = 2,30 m²;28,28 /caixa;≈0,019 (estimado);SIM;"Ficha técnica Cerbras (PDF); Beny; Cazanova Construção"
6;8608;ARGAMASSA VOTOMASSA ACII 15KG EXTERNA;40;625,00 UN;Saco de papel kraft 15 kg;15,0;≈0,010 (estimado);SIM;"Ficha técnica Votorantim Cimentos (PDF); Roque BR"
7;14557;ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT;36;463,00 UN;Saco (papel 15kg, plástico 15kg ou 20kg conforme lote);15,0;≈0,009 (estimado);SIM;"Quartzolit/Weber (ficha técnica PDF); aecweb.com.br"
8;21243;"PISO CERBRAS IPANEMA BEGE 46 X 46 ""A""";28;722,20 MT (m²);Caixa com 11 peças = 2,30 m²;28,28 /caixa;≈0,020 (estimado);SIM;"Ficha técnica Cerbras (PDF); Jurunense; Armazém Coral"
9;24606;PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211;27;923,45 MT (m²);Caixa com 7 peças = 2,53 m²;≈43 /caixa (estimado);≈0,027 (estimado);SIM;"Armazém Coral; listagens Pointer/Cazanova"
10;13697;VALVULA POLYFORT P/LAVAT BRANCA;18;29,00 UN;Unidade (blister/cartela);≈0,12 (estimado);≈0,0003 (estimado);SIM;"Fortlev (ficha técnica PDF); Ducon Metais; Dalla Home Center"
11;8236;ANEL JAPI DE VEDAÇÃO COM GUIA P/ VASO SANIT;18;20,00 UN;Unidade (caixa/blister);0,250;0,00065;NAO;"Dalla Home Center; Lojas Solar"
12;7792;SIFAO ASTRA SANF SIMPLES UNIVERSAL PLAST BCO;18;31,00 UN;Unidade;0,095;≈0,0019 (estimado);SIM;"Astra (astra-sa.com); Casa Mimosa"
13;24287;"PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO";16;94,47 MT (m²);Caixa com 3 peças = 2,18 m²;≈40 /caixa (estimado, faixa 35,7-44);≈0,032 (estimado);SIM;"Sperandio; Central dos Pisos Contagem; Rose Pisos"
14;24852;"PISO CERBRAS IPANEMA CINZA 46 X 46 ""C""";15;295,10 MT (m²);Caixa com 11 peças = 2,30 m²;"28,28 /caixa (assumido = categoria ""A"")";≈0,020 (estimado);SIM;"Ficha técnica Cerbras (PDF); RevestirHomeCenter"
15;5648;CONJ CELITE ACOP SAVEIRO BRANCO;14;15,00 UN;Conjunto (bacia + caixa acoplada 3/6L);≈31,42 (conjunto);≈0,178 (estimado);SIM;"Celite (site oficial); listagens de varejo"
16;11763;"PISO CERBRAS ICAPUI BR 46 X 46 ""A""";13;85,10 MT (m²);Caixa com 11 peças = 2,30 m²;28,28 /caixa;≈0,020 (estimado);SIM;"Oca Revestimentos; Jacaré Home Center; Apotiguar"
17;14901;ARGAMASSA PORC E PISO S/ PISO INT CINZA 15KG QUARTZOLIT;13;187,00 UN;Saco 15 kg;15,0;0,0278;NAO;"Quartzolit/Weber (página oficial); Normatel"
18;23988;PARAFUSO EUROFIX P/SANIT B-10 LATONADO C/02;13;17,00 UN;Pacote/cartela com 2 unidades;≈0,04 (estimado);≈0,00033 (estimado);SIM;"Tambasa (produto análogo); Compensa Mais; Boni"
19;17400;CUNHA CORTAG SLIM PARA NIVELAMENTO;13;23,00 UN;Pacote/saquinho com 100 unidades;≈0,45 (faixa 0,40-0,47);≈0,00075 (estimado);SIM;"Leroy Merlin; FG Ferramentas; Ritec (caixa 1000un)"
20;11479;REJUNTE VOTOMASSA CZ PLATINA 1KG;13;80,00 UN;Pacote/saco 1 kg;1,0;0,00086;NAO;"Leroy Merlin; Construleo"
21;17250;REJ QUARTZOLIT BEGE - 1KG;12;55,00 UN;Pacote (saco plástico) 1 kg;1,008;0,00092;NAO;aecweb.com.br
22;9861;PARAFUSO TORALF DE FIXAÇAO PA;12;13,00 ?;Unidade (peça avulsa);≈0,010 (estimado);≈0,000006 (estimado);SIM;Estimado por analogia (sem ficha técnica pública)
23;20201;ARGAMASSA PISO SOBRE PISO EXTERNO CINZA 15KG QUARTZOLIT;11;151,00 UN;Saco 15 kg;15,0;≈0,0278 (estimado);SIM;"Boletim Técnico Quartzolit/Weber (PDF); revestirhomecenter.com.br"
24;15171;ENGATE KRONA 40CM;11;16,00 UN;Unidade (blister);0,168;0,0012;NAO;madeiramadeira.com.br
25;17156;REJ MARROM CAFÉ QUARTZOLIT - 1KG;11;25,00 UN;Pacote (saco plástico) 1 kg;1,008;0,00092;NAO;Mesma linha do rejunte 1kg Quartzolit (aecweb.com.br)
26;17170;LATEX FORTEX BRANCO GELO 15L FORTMAIS;11;20,00 UN;Balde 15 L;≈19,5-20,0 (estimado);≈0,020 (estimado);SIM;"tintasfortex.com.br; madeiramadeira.com.br (peso não publicado)"
